# Version 1.0
# DOI http://dx.doi.org/10.1007/JHEP04(2017)039
# Source https://www.hepdata.net/download/table/ins1496050/Table11/yaml
# System PbPb5020
# Centrality 30-50
# XY PT RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high sys,TAA,low sys,TAA,high sys,lumi,low sys,lumi,high
# Experiment CMS
# 
6.400000000000000355e+00 7.200000000000001066e+00 3.628299999999999859e-01 4.400000000000000157e-04 4.400000000000000157e-04 3.672000000000000264e-02 3.672000000000000264e-02 1.994999999999999898e-02 1.958999999999999977e-02 8.340000000000000191e-03 8.340000000000000191e-03
7.200000000000001066e+00 9.599999999999999645e+00 3.648000000000000131e-01 4.099999999999999912e-04 4.099999999999999912e-04 3.090000000000000038e-02 3.090000000000000038e-02 2.006000000000000144e-02 1.968999999999999917e-02 8.389999999999999888e-03 8.389999999999999888e-03
9.600000000000001421e+00 1.200000000000000000e+01 4.149800000000000155e-01 8.899999999999999491e-04 8.899999999999999491e-04 3.427000000000000185e-02 3.427000000000000185e-02 2.282000000000000001e-02 2.239999999999999977e-02 9.539999999999999869e-03 9.539999999999999869e-03
1.200000000000000000e+01 1.439999999999999858e+01 4.565000000000000169e-01 1.500000000000000031e-03 1.500000000000000031e-03 4.089999999999999886e-02 4.089999999999999886e-02 2.510000000000000078e-02 2.460000000000000034e-02 1.050000000000000065e-02 1.050000000000000065e-02
1.440000000000000213e+01 1.919999999999999929e+01 5.063999999999999613e-01 2.099999999999999870e-03 2.099999999999999870e-03 4.540000000000000285e-02 4.540000000000000285e-02 2.779999999999999832e-02 2.730000000000000135e-02 1.159999999999999920e-02 1.159999999999999920e-02
1.920000000000000284e+01 2.400000000000000000e+01 5.568999999999999506e-01 4.100000000000000346e-03 4.100000000000000346e-03 4.769999999999999934e-02 4.769999999999999934e-02 3.059999999999999873e-02 2.999999999999999889e-02 1.280000000000000061e-02 1.280000000000000061e-02
2.400000000000000000e+01 2.879999999999999716e+01 5.997000000000000108e-01 6.799999999999999621e-03 6.799999999999999621e-03 5.129999999999999838e-02 5.129999999999999838e-02 3.289999999999999869e-02 3.230000000000000232e-02 1.370000000000000037e-02 1.370000000000000037e-02
2.879999999999999716e+01 3.520000000000000284e+01 6.435999999999999499e-01 9.199999999999999845e-03 9.199999999999999845e-03 5.510000000000000314e-02 5.510000000000000314e-02 3.540000000000000091e-02 3.470000000000000168e-02 1.480000000000000066e-02 1.480000000000000066e-02
3.520000000000000284e+01 4.160000000000000853e+01 6.840000000000000524e-01 1.299999999999999940e-02 1.299999999999999940e-02 5.899999999999999689e-02 5.899999999999999689e-02 3.799999999999999906e-02 3.699999999999999817e-02 1.600000000000000033e-02 1.600000000000000033e-02
4.159999999999999432e+01 4.800000000000000000e+01 7.459999999999999964e-01 1.499999999999999944e-02 1.499999999999999944e-02 6.400000000000000133e-02 6.400000000000000133e-02 4.100000000000000172e-02 4.000000000000000083e-02 1.700000000000000122e-02 1.700000000000000122e-02
4.800000000000000000e+01 6.079999999999999716e+01 8.030000000000000471e-01 1.299999999999999940e-02 1.299999999999999940e-02 6.900000000000000577e-02 6.900000000000000577e-02 4.399999999999999745e-02 4.299999999999999656e-02 1.799999999999999864e-02 1.799999999999999864e-02
6.079999999999999005e+01 7.359999999999999432e+01 7.850000000000000311e-01 1.499999999999999944e-02 1.499999999999999944e-02 6.800000000000000488e-02 6.800000000000000488e-02 4.299999999999999656e-02 4.200000000000000261e-02 1.799999999999999864e-02 1.799999999999999864e-02
7.359999999999999432e+01 8.640000000000000568e+01 8.229999999999999538e-01 1.799999999999999864e-02 1.799999999999999864e-02 7.199999999999999456e-02 7.199999999999999456e-02 4.499999999999999833e-02 4.399999999999999745e-02 1.899999999999999953e-02 1.899999999999999953e-02
8.640000000000000568e+01 1.035999999999999943e+02 8.469999999999999751e-01 2.400000000000000050e-02 2.400000000000000050e-02 7.399999999999999634e-02 7.399999999999999634e-02 4.700000000000000011e-02 4.599999999999999922e-02 1.899999999999999953e-02 1.899999999999999953e-02
1.035999999999999943e+02 1.207999999999999829e+02 8.699999999999999956e-01 4.100000000000000172e-02 4.100000000000000172e-02 7.699999999999999900e-02 7.699999999999999900e-02 4.800000000000000100e-02 4.700000000000000011e-02 2.000000000000000042e-02 2.000000000000000042e-02
1.208000000000000114e+02 1.400000000000000000e+02 9.010000000000000231e-01 6.099999999999999867e-02 6.099999999999999867e-02 8.000000000000000167e-02 8.000000000000000167e-02 5.000000000000000278e-02 4.900000000000000189e-02 2.100000000000000130e-02 2.100000000000000130e-02
1.400000000000000000e+02 1.650000000000000000e+02 8.479999999999999760e-01 8.100000000000000255e-02 8.100000000000000255e-02 7.499999999999999722e-02 7.499999999999999722e-02 4.700000000000000011e-02 4.599999999999999922e-02 2.000000000000000042e-02 2.000000000000000042e-02
1.650000000000000000e+02 2.500000000000000000e+02 1.000000000000000000e+00 1.089999999999999997e-01 1.089999999999999997e-01 8.899999999999999578e-02 8.899999999999999578e-02 5.500000000000000028e-02 5.399999999999999939e-02 2.299999999999999961e-02 2.299999999999999961e-02
2.500000000000000000e+02 4.000000000000000000e+02 6.969999999999999529e-01 3.190000000000000058e-01 3.190000000000000058e-01 6.300000000000000044e-02 6.300000000000000044e-02 3.799999999999999906e-02 3.799999999999999906e-02 1.600000000000000033e-02 1.600000000000000033e-02
