# Version 1.0
# DOI https://doi.org/10.1007/JHEP11%282018%29013
# Source https://www.hepdata.net/download/table/ins1657384/Table%207/1/yaml
# System PbPb2760
# Centrality 20-30
# XY PT RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high sys,extra,low sys,extra,high
# Experiment ALICE
# 
1.499999999999999667e-01 2.000000000000000111e-01 2.409969999999999890e-01 1.185699999999999981e-04 1.185699999999999981e-04 1.842900000000000094e-02 1.842900000000000094e-02 6.506918999999999897e-03 6.506918999999999897e-03
2.000000000000000111e-01 2.500000000000000000e-01 2.418420000000000014e-01 7.731700000000000530e-05 7.731700000000000530e-05 1.292300000000000046e-02 1.292300000000000046e-02 6.529733999999999712e-03 6.529733999999999712e-03
2.500000000000000000e-01 3.000000000000000444e-01 2.490159999999999874e-01 7.456299999999999744e-05 7.456299999999999744e-05 1.210499999999999944e-02 1.210499999999999944e-02 6.723431999999999673e-03 6.723431999999999673e-03
2.999999999999999334e-01 3.499999999999999778e-01 2.582220000000000071e-01 7.675500000000000627e-05 7.675500000000000627e-05 1.227899999999999998e-02 1.227899999999999998e-02 6.971994000000000455e-03 6.971994000000000455e-03
3.499999999999999778e-01 4.000000000000000222e-01 2.693570000000000131e-01 8.187900000000000668e-05 8.187900000000000668e-05 1.290299999999999954e-02 1.290299999999999954e-02 7.272639000000000013e-03 7.272639000000000013e-03
4.000000000000000222e-01 4.500000000000000666e-01 2.811000000000000165e-01 8.869199999999999719e-05 8.869199999999999719e-05 1.311099999999999939e-02 1.311099999999999939e-02 7.589700000000000439e-03 7.589700000000000439e-03
4.499999999999999556e-01 5.000000000000000000e-01 2.931070000000000064e-01 9.906399999999999885e-05 9.906399999999999885e-05 1.360199999999999951e-02 1.360199999999999951e-02 7.913889000000000340e-03 7.913889000000000340e-03
5.000000000000000000e-01 5.500000000000000444e-01 3.062949999999999839e-01 1.127700000000000062e-04 1.127700000000000062e-04 1.374599999999999954e-02 1.374599999999999954e-02 8.269964999999998914e-03 8.269964999999998914e-03
5.500000000000000444e-01 5.999999999999998668e-01 3.195819999999999772e-01 1.275399999999999884e-04 1.275399999999999884e-04 1.420800000000000014e-02 1.420800000000000014e-02 8.628713999999999135e-03 8.628713999999999135e-03
5.999999999999999778e-01 6.500000000000000222e-01 3.336450000000000249e-01 1.449199999999999881e-04 1.449199999999999881e-04 1.421000000000000041e-02 1.421000000000000041e-02 9.008415000000000519e-03 9.008415000000000519e-03
6.500000000000001332e-01 6.999999999999999556e-01 3.464209999999999789e-01 1.643199999999999988e-04 1.643199999999999988e-04 1.438799999999999975e-02 1.438799999999999975e-02 9.353366999999999584e-03 9.353366999999999584e-03
6.999999999999999556e-01 7.500000000000000000e-01 3.597730000000000095e-01 1.845999999999999876e-04 1.845999999999999876e-04 1.539699999999999923e-02 1.539699999999999923e-02 9.713871000000000658e-03 9.713871000000000658e-03
7.500000000000000000e-01 8.000000000000000444e-01 3.718400000000000039e-01 2.062499999999999989e-04 2.062499999999999989e-04 1.590199999999999947e-02 1.590199999999999947e-02 1.003968000000000048e-02 1.003968000000000048e-02
